"","X","state","surveyCount","Democrats","Republicans","independents","other","governorParty","population.x","crimes.x","percDem","percRep","percInd","percOth","crimeRate","population.y","crimes.y"
"37",37,"OREGON",70,29,17,22,2,"Democrat",4142776,11674,0.414285714285714,0.242857142857143,0.314285714285714,0.0285714285714286,281.791726127601,4142776,11674
"38",38,"PENNSYLVANIA",206,65,78,60,3,"Democrat",12805537,40120,0.315533980582524,0.378640776699029,0.29126213592233,0.0145631067961165,313.301972420212,12805537,40120
"39",39,"RHODE ISLAND",16,4,2,9,1,"Democrat",1059639,2460,0.25,0.125,0.5625,0.0625,232.154535648461,1059639,2460
"40",40,"SOUTH CAROLINA",75,17,24,29,5,"Republican",5024369,25432,0.226666666666667,0.32,0.386666666666667,0.0666666666666667,506.17301396454,5024369,25432
"41",41,"SOUTH DAKOTA",18,3,8,7,0,"Republican",869666,3771,0.166666666666667,0.444444444444444,0.388888888888889,0,433.614744051165,869666,3771
"42",42,"TENNESSEE",102,29,28,39,6,"Republican",6715984,43755,0.284313725490196,0.274509803921569,0.382352941176471,0.0588235294117647,651.50542347927,6715984,43755
"43",43,"TEXAS",364,109,110,127,18,"Republican",28304596,124238,0.299450549450549,0.302197802197802,0.348901098901099,0.0494505494505494,438.93224973075,28304596,124238
"44",44,"UTAH",57,6,14,34,3,"Republican",3101833,7410,0.105263157894737,0.245614035087719,0.596491228070175,0.0526315789473684,238.891004125625,3101833,7410
"45",45,"VERMONT",14,8,1,5,0,"Republican",623657,1034,0.571428571428571,0.0714285714285714,0.357142857142857,0,165.796263009956,623657,1034
"46",46,"VIRGINIA",179,54,49,69,7,"Democrat",8470020,17632,0.301675977653631,0.273743016759777,0.385474860335196,0.0391061452513966,208.169520260873,8470020,17632
"47",47,"WASHINGTON",129,50,23,47,9,"Democrat",7405743,22548,0.387596899224806,0.178294573643411,0.364341085271318,0.0697674418604651,304.466412080462,7405743,22548
"48",48,"WEST VIRGINIA",35,15,8,10,2,"Democrat",1815857,6368,0.428571428571429,0.228571428571429,0.285714285714286,0.0571428571428571,350.688407732547,1815857,6368
"49",49,"WISCONSIN",105,33,27,42,3,"Republican",5795483,18539,0.314285714285714,0.257142857142857,0.4,0.0285714285714286,319.887056868254,5795483,18539
"50",50,"WYOMING",10,1,4,5,0,"Republican",579315,1376,0.1,0.4,0.5,0,237.521900865678,579315,1376
